Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:ccal;Characteristics:prot;Characteristics:fat;Characteristics:carb;Weight;Length;Width;Height
4,10963E+11;;;;dishes;lite-2-5;Куриная котлета с овощами;Куриный фарш, сухари панировочные, картофель стоун, морковь, цветная капуста, фасоль стручковая;https://static.tildacdn.com/tild3830-3162-4133-b962-376338313439/Rectangle_10.png;0;;;;;HiapYSo3NcxK5M1JihHV;;;;;;250;0;0;0
2,03281E+11;;;;dishes;lite-2-6;Чанахи с булгуром;Булгур, говядина, соус наполи, морковь, специи, зелень, чеснок;https://static.tildacdn.com/tild3236-3533-4862-a337-613535646565/Rectangle_38.png;0;;;;;p8DSDLbB4xhPZxFGgiYt;;;;;;250;0;0;0
6,04678E+11;;;;dishes;lite-2-dessert;Эклер шоколадный;Мука, яйцо, сахар, шоколад, заварной крем;https://static.tildacdn.com/tild3363-3261-4265-b262-656530336532/Rectangle_17.png;0;;;;;Vaxstk1Uugoz8o01XACN;;;;;;50;0;0;0
6,55515E+11;;;;dishes;lite-3-1;Индейка наполи с печеными кабачками;Филе индейки, томат сс, специи, кабачки;https://static.tildacdn.com/tild6337-6438-4663-b430-396161366162/Rectangle_10.png;0;;;;;zDHtLDi4B6vnTonJ1tyJ;;;;;;250;0;0;0
5,72739E+11;;;;dishes;lite-3-2;Салат Бордо;Свекла, яблоко, сыр фета, заправка;https://static.tildacdn.com/tild3266-3831-4966-a439-363632396363/Rectangle_28.png;0;;;;;Y9Vz3kapTLNlymH4Xe2U;;;;;;120;0;0;0
2,7407E+11;;;;dishes;lite-3-3;Сырники в кокосе;Творог, фруктоза, кокосовая стружка, сметана;https://static.tildacdn.com/tild3964-6136-4564-b962-383735653938/Rectangle_30.png;0;;;;;bOGvDI0moJjoFIaLCcXc;;;;;;200;0;0;0
7,31956E+11;;;;dishes;lite-3-4;Крем суп из молодого горошка;Горошек молодой, специи, лук, картофель, сливки;https://static.tildacdn.com/tild6135-6632-4734-b264-653430623265/Mask_Group.png;0;;;;;OU8XgozvNVdOMFAjSxhf;;;;;;280;0;0;0
8,71985E+11;;;;dishes;lite-3-5;Полба с грибным соусом и мясными шариками;Мясной фарш, лук, шампиньоны, сливочный соус, полба;https://static.tildacdn.com/tild3162-6535-4330-b966-386362303537/Rectangle_29.png;0;;;;;nLX83fCzUzlgtB9YlzP5;;;;;;250;0;0;0
2,98619E+11;;;;dishes;lite-3-6;Творожная котлета с картофельным пюре;Картофель, молоко, специи, куриное филе, творог, зелень;https://static.tildacdn.com/tild6462-3833-4236-b438-666531343237/Rectangle_39.png;0;;;;;z292xOSvKmKmEIbkVaTC;;;;;;250;0;0;0
9,61125E+11;;;;dishes;lite-3-dessert;Чиз-кейк клубничный;Бисквит, ваниль, сливочный сыр, сливки, яйцо, клубника;https://static.tildacdn.com/tild3462-3839-4236-a432-336230316437/Rectangle_18.png;0;;;;;No4ilo0USY1MOCtCugXm;;;;;;100;0;0;0
